学号,姓名,性别,年龄,省份,市级,学院,专业,年级,学历,联系方式
20171318296,张勇,女,24,广西,北海,电子科学与工程系,电子工程专业,大一,本科,18603496885
20171318297,秦其瑶,女,19,陕西,西安,电子科学与工程系,微电子与光电子学专业,大三,本科,13807517457
20171318298,陈淮煜,男,24,辽宁,抚顺,电子科学与工程系,电子工程专业,大二,本科,13805066419
20171318299,代旭,女,18,甘肃,嘉峪关,外国系,德语专业,大三,本科,13901536593
20171318300,黄姁,男,19,内蒙古,呼伦贝尔,电子科学与工程系,信息电子学专业,大四,本科,18608119692
20171318301,梅骏,女,24,江西,景德镇,外国系,英语专业,大二,本科,18206291811
20171318302,欧兴宽,男,22,贵州,六盘水,外国系,英语专业,大一,本科,13903094014
20171318303,龙复艳,男,21,浙江,湖州,电子科学与工程系,通信工程专业,大二,本科,13802351615
20171318304,苟艰钱,男,17,广西,桂林,外国系,德语专业,大三,本科,18600567148
20171318305,周雪,男,21,四川,宜宾,外国系,英语专业,大一,本科,15203481742
20171318306,周春龙,男,23,内蒙古,巴彦淖尔,外国系,英语专业,大二,本科,13809592879
20171318307,陈姚姚,女,18,安徽,芜湖,外国系,西班牙语专业,大三,本科,15203582709
20171318308,程姗姗,女,17,河北,沧州,外国系,德语专业,大四,本科,18204566128
20171318309,冯霞,女,21,广东,惠州,外国系,日语专业,大一,本科,13907411389
20171318310,王宏云,女,19,广西,桂林,外国系,英语专业,大一,本科,18607422503
20171318311,张艳,女,20,黑龙江,七台河,电子科学与工程系,通信工程专业,大四,本科,15203950357
20171318312,陈兴裕,女,17,云南,玉溪,电子科学与工程系,微电子与光电子学专业,大二,本科,13800923206
20171318313,周念,女,18,浙江,杭州,外国系,德语专业,大四,本科,13804572835
20171318314,陈毅,女,22,河南,鹤壁,外国系,英语专业,大二,本科,18605060473
20171318315,骆培蕾,男,22,广西,梧州,外国系,西班牙语专业,大四,本科,13907248110
20171318316,陈亚林,男,17,陕西,安康,外国系,英语专业,大一,本科,15205093250
20171318317,张明星,男,19,广西,南宁,电子科学与工程系,电子工程专业,大三,本科,18606798038
20171318318,喻文沛,女,20,新疆,乌鲁木齐,电子科学与工程系,信息电子学专业,大四,本科,13900879629
20171318319,欧阳祥龄,女,23,广东,惠州,外国系,西班牙语专业,大一,本科,15204370235
20171318320,王涛,男,17,浙江,舟山,外国系,西班牙语专业,大三,本科,13801596611
20171318321,周艳,女,24,黑龙江,鹤岗,外国系,英语专业,大二,本科,18201500256
20171318322,龙莘蛟,男,21,广东,阳江,外国系,德语专业,大四,本科,13801389518
20171318323,张宇航,男,24,辽宁,丹东,外国系,西班牙语专业,大一,本科,13909395029
20171318324,安杰,男,23,云南,玉溪,外国系,日语专业,大一,本科,13809665696
20171318325,蔡宇星,男,18,吉林,白城,外国系,英语专业,大四,本科,13907611062
20171318326,欧阳琳琳,女,24,山东,淄博,外国系,日语专业,大二,本科,13901062495
20171318327,夏仁凤,女,23,四川,雅安,电子科学与工程系,微电子与光电子学专业,大三,本科,13807372666
20171318328,张艺,女,20,福建,福州,电子科学与工程系,电子工程专业,大三,本科,18603065685
20171318329,周尧兰,男,24,湖南,邵阳,电子科学与工程系,微电子与光电子学专业,大一,本科,18202425589
20171318330,安航航,男,21,江西,赣州,外国系,西班牙语专业,大二,本科,18601035517
20171318331,梁霞,男,23,山东,东营,外国系,西班牙语专业,大一,本科,18600709755
20171318332,肖扬,女,23,陕西,汉中,电子科学与工程系,电子工程专业,大三,本科,18603982071
20171318333,杨堂鑫,女,18,吉林,吉林,外国系,英语专业,大一,本科,15204185883
20171318334,陈波,男,19,浙江,衢州,外国系,日语专业,大二,本科,15206051049
20171318335,周玉波,男,23,广西,防城港,电子科学与工程系,电子工程专业,大一,本科,13907557754
20171318336,李敖,女,23,内蒙古,赤峰,外国系,德语专业,大四,本科,18201902466
20171318337,张义婷,男,24,福建,漳州,电子科学与工程系,微电子与光电子学专业,大二,本科,18607889641
20171318338,林雨婷,男,24,河南,驻马店,电子科学与工程系,电子工程专业,大四,本科,13905054376
20171318339,刘斌,女,17,陕西,安康,外国系,德语专业,大一,本科,18608428899
20171318340,骆书阳,男,17,安徽,合肥,电子科学与工程系,微电子与光电子学专业,大二,本科,13807583461
20171318341,骆宽,女,21,河南,商丘,电子科学与工程系,信息电子学专业,大三,本科,18201617219
20171318342,梁灿,女,20,河南,南阳,电子科学与工程系,电子工程专业,大三,本科,13904530299
20171318343,龙云云,女,22,河南,三门峡,外国系,日语专业,大三,本科,18204174128
20171318344,廖银川,男,22,重庆,重庆,电子科学与工程系,通信工程专业,大三,本科,15209758737
20171318345,陈洋,女,19,黑龙江,佳木斯,外国系,西班牙语专业,大二,本科,15204552964
20171318346,陈调兴,女,24,湖南,永州,电子科学与工程系,通信工程专业,大二,本科,13907003931
20171318347,李佳丽,女,21,四川,眉山,外国系,德语专业,大二,本科,18204685725
20171318348,王光凤,女,24,安徽,池州,电子科学与工程系,信息电子学专业,大一,本科,13902042968
20171318349,周合力,男,18,河南,安阳,外国系,德语专业,大三,本科,13903095824
20171318350,苟龙,女,19,四川,泸州,电子科学与工程系,通信工程专业,大二,本科,13800192115
20171318351,田春银,女,23,宁夏,固原,外国系,西班牙语专业,大二,本科,18602897212
20171318352,李文一,女,24,内蒙古,乌海,电子科学与工程系,通信工程专业,大三,本科,13909357988
20171318353,冷开茂,男,21,浙江,宁波,外国系,西班牙语专业,大二,本科,18606039865
20171318354,罗青青,女,20,安徽,铜陵,电子科学与工程系,微电子与光电子学专业,大四,本科,15202639485
20171318355,秦其粤,男,22,河南,三门峡,电子科学与工程系,电子工程专业,大三,本科,18609536623
20171318356,罗小豪,女,18,广东,江门,外国系,英语专业,大三,本科,18602103190
20171318357,杨姗姗,男,17,山东,潍坊,外国系,西班牙语专业,大三,本科,18600160637
20171318358,王正航,女,21,江苏,连云港,电子科学与工程系,电子工程专业,大二,本科,18201896760
20171318359,龙宇,女,21,江苏,无锡,电子科学与工程系,通信工程专业,大四,本科,13804835680
20171318360,周业润,女,24,广西,百色,电子科学与工程系,通信工程专业,大四,本科,18202284611
20171318361,梁久顺,男,18,广东,韶关,电子科学与工程系,电子工程专业,大四,本科,15207800287
20171318362,叶雨,女,18,河南,鹤壁,电子科学与工程系,信息电子学专业,大四,本科,13807335265
20171318363,罗茂兰,女,19,四川,达州,外国系,西班牙语专业,大三,本科,18600781281
20171318364,周露笋,女,23,湖北,荆州,电子科学与工程系,微电子与光电子学专业,大二,本科,13902787045
20171318365,代永银,男,17,黑龙江,牡丹江,电子科学与工程系,通信工程专业,大一,本科,18201258345
20171318366,代元梅,女,18,湖北,荆州,外国系,英语专业,大一,本科,13804454896
20171318367,欧小娟,男,23,四川,成都,外国系,日语专业,大二,本科,13908787203
20171318368,欧官军,男,24,湖南,长沙,外国系,德语专业,大二,本科,18603678319
20171318369,钱洪浪,男,21,山东,菏泽,电子科学与工程系,信息电子学专业,大四,本科,13804948928
20171318370,刘尧,男,17,山东,东营,外国系,日语专业,大四,本科,18201558999
20171318371,杨堂伟,男,17,湖南,岳阳,外国系,英语专业,大三,本科,15209543272
20171318372,王光文,男,17,江苏,苏州,外国系,西班牙语专业,大一,本科,13807089040
20171318373,陈橙,女,18,甘肃,张掖,电子科学与工程系,电子工程专业,大一,本科,18600832805
20171318374,,男,18,江西,新余,外国系,英语专业,大一,本科,18609551105
20171318375,,女,19,湖南,常德,电子科学与工程系,电子工程专业,大二,本科,13903283990
20171318376,,女,18,四川,南充,电子科学与工程系,微电子与光电子学专业,大四,本科,13800830138
20171318377,,女,20,江苏,徐州,电子科学与工程系,电子工程专业,大二,本科,18204346882
20171318378,,女,17,山西,朔州,电子科学与工程系,微电子与光电子学专业,大一,本科,15204883142
20171318379,,男,19,广东,深圳,电子科学与工程系,电子工程专业,大二,本科,13903031165
20171318380,,男,24,湖南,永州,电子科学与工程系,通信工程专业,大一,本科,15206664489
20171318381,,男,21,江西,景德镇,电子科学与工程系,微电子与光电子学专业,大一,本科,15207914372
20171318382,,女,22,四川,广安,外国系,西班牙语专业,大三,本科,15209257953
20171318383,,女,20,浙江,嘉兴,外国系,西班牙语专业,大三,本科,18601084130
20171318384,,女,22,黑龙江,鹤岗,外国系,英语专业,大四,本科,18202197551
20171318385,,男,22,山东,济宁,电子科学与工程系,电子工程专业,大一,本科,13809737513
20171318386,,女,19,贵州,贵阳,电子科学与工程系,微电子与光电子学专业,大三,本科,18601018832
20171318387,,男,23,云南,昆明,外国系,德语专业,大二,本科,18202937290
20171318388,,女,18,黑龙江,双鸭山,外国系,日语专业,大二,本科,13909556876
20171318389,,女,20,广东,汕头,电子科学与工程系,微电子与光电子学专业,大一,本科,15206193404
20171318390,,女,18,河南,漯河,外国系,日语专业,大二,本科,15202299238
20171318391,,女,17,福建,漳州,电子科学与工程系,电子工程专业,大三,本科,18208551386
20171318392,,男,17,浙江,杭州,外国系,英语专业,大三,本科,18607183706
20171318393,,男,20,贵州,六盘水,电子科学与工程系,信息电子学专业,大四,本科,13904835400
20171318394,,男,22,江苏,常州,电子科学与工程系,电子工程专业,大二,本科,13906407824
20171318395,,男,23,广西,桂林,外国系,西班牙语专业,大一,本科,15205739785
20171318396,,女,19,甘肃,平凉,外国系,日语专业,大二,本科,18603247996
20171318397,,男,19,广西,北海,电子科学与工程系,电子工程专业,大二,本科,18601186224
20171318398,,女,21,广西,梧州,外国系,英语专业,大二,本科,13808633902
20171318399,,男,22,天津,天津,外国系,英语专业,大四,本科,15208084390
20171318400,,男,22,安徽,宿州,电子科学与工程系,信息电子学专业,大三,本科,13808125317
20171318401,,男,24,河南,漯河,外国系,德语专业,大二,本科,18209553865
20171318402,,女,23,福建,三明,外国系,日语专业,大四,本科,18201034186
20171318403,,女,24,福建,漳州,外国系,英语专业,大三,本科,13804094335
20171318404,,男,23,陕西,咸阳,电子科学与工程系,电子工程专业,大二,本科,15200734341
20171318405,,女,17,黑龙江,大庆,电子科学与工程系,通信工程专业,大一,本科,15205058209
20171318406,,女,24,江苏,宿迁,电子科学与工程系,信息电子学专业,大三,本科,18200783694
20171318407,,男,20,广东,惠州,外国系,德语专业,大四,本科,13903515914
20171318408,,男,24,四川,乐山,电子科学与工程系,电子工程专业,大四,本科,15207697893
20171318409,,男,20,贵州,遵义,电子科学与工程系,通信工程专业,大四,本科,13805153184
20171318410,,男,19,四川,泸州,外国系,日语专业,大一,本科,15204970108
20171318411,,男,18,海南,海口,电子科学与工程系,信息电子学专业,大四,本科,18208674273
20171318412,,女,19,云南,玉溪,电子科学与工程系,微电子与光电子学专业,大一,本科,13808019630
