学号,姓名,性别,年龄,省份,市级,学院,专业,年级,学历,联系方式
20171318305,周雪,男,18,安徽,池州,电子科学与工程系,微电子与光电子学专业,大三,本科,13801076781
20171318306,周春龙,男,22,广西,桂林,社会系,社会学专业,大二,本科,18600195798
20171318307,陈姚姚,男,17,广东,深圳,文学系,语言学专业,大三,本科,15201659870
20171318308,程姗姗,女,23,山西,临汾,物理系,物理学专业,大一,本科,18609390414
20171318309,冯霞,男,19,辽宁,抚顺,外国系,法语专业,大二,本科,18608709644
20171318310,王宏云,女,19,河南,郑州,社会系,社会学专业,大一,本科,18604085349
20171318311,张艳,女,22,四川,内江,社会系,心理学专业,大二,本科,18600042608
20171318312,陈兴裕,女,18,云南,临沧,文学系,戏剧影视艺术专业,大一,本科,13904845298
20171318313,周念,男,18,江西,新余,物理系,现代物理专业,大一,本科,18608840954
20171318314,陈毅,男,20,江苏,泰州,电子科学与工程系,电子工程专业,大三,本科,15203195295
20171318315,骆培蕾,男,23,河北,石家庄,社会系,社会学专业,大一,本科,13900035135
20171318316,陈亚林,男,20,黑龙江,黑河,物理系,现代物理专业,大一,本科,15207172900
20171318317,张明星,女,22,辽宁,鞍山,化学化工系,地球科学专业,大一,本科,13808658990
20171318318,喻文沛,男,19,河南,濮阳,化学化工系,地球科学专业,大一,本科,13903630368
20171318319,欧阳祥龄,男,20,安徽,淮北,化学化工系,水科学专业,大一,本科,15207265343
20171318320,王涛,男,17,四川,广安,文学系,戏剧影视艺术专业,大一,本科,13902404371
20171318321,周艳,男,17,河南,南阳,社会系,社会学专业,大二,本科,18604461316
20171318322,龙莘蛟,女,23,江西,宜春,物理系,现代物理专业,大二,本科,18603487003
20171318323,张宇航,男,22,河南,平顶山,文学系,语言学专业,大一,本科,13904340938
20171318324,安杰,女,20,山东,青岛,社会系,社会学专业,大三,本科,15204381201
20171318325,蔡宇星,男,18,江苏,苏州,电子科学与工程系,电子工程专业,大二,本科,13907656721
20171318326,欧阳琳琳,男,23,黑龙江,伊春,化学化工系,水科学专业,大二,本科,13902926829
20171318327,夏仁凤,男,17,四川,德阳,化学化工系,地球科学专业,大三,本科,13907564242
20171318328,张艺,男,22,江西,南昌,物理系,现代物理专业,大三,本科,18605948043
20171318329,周尧兰,男,17,湖北,鄂州,物理系,物理学专业,大二,本科,13800988211
20171318330,安航航,女,20,山西,长治,化学化工系,水科学专业,大二,本科,13808644182
20171318331,梁霞,女,23,山东,济南,电子科学与工程系,信息电子学专业,大一,本科,13801438907
20171318332,肖扬,女,17,甘肃,酒泉,外国系,俄语专业,大三,本科,15200142904
20171318333,杨堂鑫,女,21,湖南,岳阳,化学化工系,地球科学专业,大三,本科,18605934816
20171318334,陈波,女,19,山西,晋城,电子科学与工程系,电子工程专业,大一,本科,18608464945
20171318335,周玉波,男,18,湖北,鄂州,社会系,心理学专业,大一,本科,13808579067
20171318336,李敖,男,20,江苏,连云港,社会系,心理学专业,大三,本科,13908764606
20171318337,张义婷,男,23,辽宁,锦州,外国系,国际商务专业,大三,本科,18608506901
20171318338,林雨婷,女,22,内蒙古,呼和浩特,社会系,心理学专业,大二,本科,13806787134
20171318339,刘斌,男,22,安徽,铜陵,化学化工系,地球科学专业,大一,本科,18600080424
20171318340,骆书阳,男,19,吉林,白城,社会系,社会学专业,大二,本科,13803952406
20171318341,骆宽,男,20,安徽,淮北,社会系,心理学专业,大一,本科,13808858384
20171318342,梁灿,女,21,江西,宜春,社会系,社会学专业,大一,本科,13803313997
20171318343,龙云云,男,21,河北,邢台,文学系,文学专业,大二,本科,13904377166
20171318344,廖银川,女,22,河南,焦作,物理系,物理学专业,大三,本科,15202868129
20171318345,陈洋,男,23,湖北,黄冈,社会系,心理学专业,大二,本科,15202389870
20171318346,陈调兴,女,21,浙江,嘉兴,社会系,心理学专业,大一,本科,15205030963
20171318347,李佳丽,女,20,甘肃,金昌,社会系,社会学专业,大二,本科,15206969958
20171318348,王光凤,女,21,广东,汕尾,物理系,光电科学专业,大一,本科,15205776419
20171318349,周合力,女,18,安徽,黄山,化学化工系,水科学专业,大一,本科,13905301088
20171318350,苟龙,女,20,内蒙古,乌海,电子科学与工程系,信息电子学专业,大一,本科,15205297796
20171318351,田春银,女,23,辽宁,阜新,电子科学与工程系,微电子与光电子学专业,大三,本科,13808874896
20171318352,李文一,女,18,云南,昆明,文学系,戏剧影视艺术专业,大一,本科,15207525152
20171318353,冷开茂,女,19,河南,洛阳,外国系,德语专业,大三,本科,13904117959
20171318354,罗青青,女,17,广东,东莞,文学系,文学专业,大一,本科,13905725645
20171318355,秦其粤,男,22,湖北,武汉,化学化工系,水科学专业,大三,本科,18609324263
20171318356,罗小豪,女,19,内蒙古,巴彦淖尔,化学化工系,水科学专业,大一,本科,18605747636
20171318357,杨姗姗,女,23,福建,泉州,外国系,日语专业,大三,本科,18607686024
20171318358,王正航,男,20,福建,莆田,化学化工系,水科学专业,大一,本科,13903347608
20171318359,龙宇,女,17,云南,临沧,电子科学与工程系,信息电子学专业,大一,本科,13904753771
20171318360,周业润,男,20,甘肃,嘉峪关,化学化工系,水科学专业,大二,本科,13805018493
20171318361,梁久顺,女,19,甘肃,酒泉,电子科学与工程系,微电子与光电子学专业,大一,本科,13800002708
20171318362,叶雨,女,23,湖北,荆州,化学化工系,水科学专业,大三,本科,18603667672
20171318363,罗茂兰,女,22,河北,保定,电子科学与工程系,微电子与光电子学专业,大三,本科,18603938916
20171318364,周露笋,女,20,广西,南宁,社会系,心理学专业,大一,本科,13904042202
20171318365,代永银,女,22,河南,三门峡,社会系,社会学专业,大一,本科,13901302435
20171318366,代元梅,男,18,浙江,温州,电子科学与工程系,信息电子学专业,大一,本科,13807859916
20171318367,欧小娟,男,22,海南,海口,电子科学与工程系,信息电子学专业,大二,本科,18607443329
20171318368,欧官军,男,23,广西,玉林,化学化工系,水科学专业,大一,本科,15202469965
20171318369,钱洪浪,男,17,江西,景德镇,社会系,心理学专业,大一,本科,15206326748
20171318370,刘尧,女,17,湖南,永州,化学化工系,地球科学专业,大三,本科,13802808308
20171318371,杨堂伟,男,21,江西,景德镇,电子科学与工程系,信息电子学专业,大一,本科,18606742336
20171318372,王光文,男,23,吉林,长春,文学系,文学专业,大三,本科,15202721527
20171318373,陈橙,女,19,河北,唐山,化学化工系,水科学专业,大三,本科,18605987145
20171318374,张枝园,女,23,吉林,通化,社会系,心理学专业,大一,本科,13909464316
20171318375,吴家露,男,20,吉林,通化,社会系,社会学专业,大一,本科,15205229596
20171318376,张稀洋,女,20,江西,景德镇,化学化工系,水科学专业,大二,本科,15200962661
20171318377,陈杰,女,17,甘肃,庆阳,文学系,文学专业,大三,本科,18609906430
20171318378,周尧茂,男,20,广西,钦州,文学系,戏剧影视艺术专业,大一,本科,13807444551
20171318379,喻娇,女,17,云南,玉溪,社会系,心理学专业,大一,本科,13902140736
20171318380,张锐,女,22,江苏,连云港,外国系,国际商务专业,大一,本科,18604649856
20171318381,罗鑫,女,22,四川,宜宾,外国系,西班牙语专业,大三,本科,13800754647
20171318382,秦阳,女,20,山东,济南,文学系,文学专业,大三,本科,15209805591
20171318383,鸥兴柱,男,22,山东,潍坊,化学化工系,地球科学专业,大二,本科,18606853007
20171318384,欧官波,女,21,甘肃,金昌,化学化工系,地球科学专业,大三,本科,18607463705
20171318385,欧垚鑫,男,21,宁夏,银川,化学化工系,水科学专业,大一,本科,13908291683
20171318386,何艳,女,19,山东,烟台,外国系,英语专业,大二,本科,15209606398
20171318387,赵杰,男,19,辽宁,沈阳,外国系,西班牙语专业,大一,本科,15208878089
20171318388,李克敏,男,23,四川,达州,电子科学与工程系,电子工程专业,大三,本科,18606063832
20171318389,周双玉,女,23,西藏,拉萨,电子科学与工程系,信息电子学专业,大一,本科,13902133423
20171318390,周双文,男,19,河南,濮阳,电子科学与工程系,微电子与光电子学专业,大一,本科,15209662375
20171318391,李飘飘,男,18,湖南,岳阳,电子科学与工程系,微电子与光电子学专业,大一,本科,13909104281
20171318392,骆鹏程,女,20,四川,成都,化学化工系,水科学专业,大一,本科,18609650701
20171318393,肖冰风,男,19,北京,北京,文学系,戏剧影视艺术专业,大一,本科,18600662141
20171318394,肖侣侣,女,17,安徽,六安,社会系,社会学专业,大一,本科,13803061105
20171318395,肖阳杰,男,19,黑龙江,黑河,外国系,俄语专业,大一,本科,18605744332
20171318396,张恩兰,男,23,广东,韶关,文学系,语言学专业,大一,本科,18603372516
20171318397,张顺基,女,20,甘肃,白银,电子科学与工程系,微电子与光电子学专业,大三,本科,15209417565
20171318398,喻家钢,女,20,河南,安阳,文学系,语言学专业,大一,本科,13804148247
20171318399,黄太浪,男,22,河南,洛阳,物理系,物理学专业,大一,本科,13808350908
20171318400,黄太飘,女,21,山西,吕梁,化学化工系,地球科学专业,大二,本科,13804608936
20171318401,张昌翠,男,18,湖北,荆州,化学化工系,地球科学专业,大二,本科,13804135221
20171318402,钱宇,女,19,宁夏,石嘴山,外国系,日语专业,大一,本科,13903083543
20171318403,罗兴莹,女,18,黑龙江,鸡西,物理系,现代物理专业,大三,本科,18603723741
20171318404,杨丹丹,女,22,安徽,合肥,文学系,戏剧影视艺术专业,大二,本科,15203775153
20171318405,代双,男,22,内蒙古,巴彦淖尔,物理系,光电科学专业,大一,本科,13806921434
20171318406,李浩东,男,22,甘肃,张掖,外国系,国际商务专业,大一,本科,13909464516
20171318407,欧顺飘,男,22,内蒙古,通辽,物理系,物理学专业,大三,本科,18609755568
20171318408,梁萌,男,17,湖南,衡阳,外国系,德语专业,大二,本科,13907639803
20171318409,张琴野,女,17,黑龙江,黑河,文学系,戏剧影视艺术专业,大二,本科,13906003796
20171318410,聂祥秀,女,20,四川,宜宾,电子科学与工程系,电子工程专业,大三,本科,15209168995
20171318411,吴洪琴,女,20,山西,大同,化学化工系,水科学专业,大一,本科,15205568901
20171318412,廖丽莎,女,20,辽宁,盘锦,化学化工系,水科学专业,大一,本科,18605268481
